chebiid	smiles	cmpname
CHEBI:36264	O=[Mo](=O)([O-])[O-]	molybdate
CHEBI:36361	OP(O)O	phosphite
CHEBI:36655	O=CC(=O)[O-]	glyoxylate
CHEBI:39275	CBr	bromomethane
CHEBI:39282	CI	iodomethane
CHEBI:41132	O[B-](O)(O)O	tetrahydroxoborate
CHEBI:42530	CC(=O)OO	peracetic acid
CHEBI:43474	O=P([O-])([O-])O	phosphate
CHEBI:44423	NC(=O)NO	hydroxyurea
CHEBI:44951	O=P[O-]	dioxidophosphate
CHEBI:46502	O=[W](=O)([O-])[O-]	tungstate
CHEBI:46511	CCS	ethanethiol
CHEBI:47402	S1[Fe]2S[Fe]3S[Fe]1[SH]23	[3Fe-4S](0) cluster
CHEBI:48597	O=[As]([O-])([O-])O	arsenate
CHEBI:48775	[Cd+2]	Cd(2+)
CHEBI:48828	[Co+2]	Co(2+)
CHEBI:49468	[Ag+]	Ag(+)
CHEBI:49544	[Cr+3]	Cr(3+)
CHEBI:49547	[Cs+]	Cs(+)
CHEBI:49552	[Cu+]	Cu(+)
CHEBI:49709	[O-][Cl+2]([O-])[O-]	chlorate
CHEBI:49713	[Li+]	Li(+)
CHEBI:49786	[Ni+2]	Ni(2+)
CHEBI:49807	[Pb+2]	Pb(2+)
CHEBI:49847	[Rb+]	Rb(+)
CHEBI:57305	[NH3+]CC(=O)[O-]	glycine
CHEBI:57418	[NH3+]CCP(=O)([O-])O	(2-aminoethyl)phosphonate
CHEBI:57431	NC(=O)NC[NH3+]	N-(aminomethyl)urea
CHEBI:57488	O=C([O-])CP(=O)([O-])O	phosphonoacetate
CHEBI:57603	[NH3+]CCO	ethanolamine
CHEBI:57801	O=P1([O-])OP(=O)([O-])OP(=O)([O-])O1	trimetaphosphate
CHEBI:57840	CNC(N)=[NH2+]	methylguanidine
CHEBI:57853	[NH3+]CCS(=O)[O-]	hypotaurine
CHEBI:58029	[NH3+]CCS	cysteamine
CHEBI:58033	O=C([O-])COP(=O)([O-])[O-]	2-phosphoglycolate
CHEBI:58040	C[NH2+]C	dimethylamine
CHEBI:58190	[NH3+]CCOP(=O)([O-])[O-]	phosphoethanolamine
CHEBI:58213	[NH3+]CC=O	aminoacetaldehyde
CHEBI:58228	NC(=O)OP(=O)([O-])[O-]	carbamoyl phosphate
CHEBI:58246	O=CCS(=O)(=O)[O-]	sulfoacetaldehyde
CHEBI:58261	COS(=O)(=O)[O-]	monomethyl sulfate
CHEBI:58319	O=S(=O)([O-])CCS	coenzyme M
CHEBI:58363	NC(=O)C(=O)[O-]	oxamate
CHEBI:58383	O=CCP(=O)([O-])O	phosphonoacetaldehyde
CHEBI:58824	O=C([O-])CS(=O)(=O)[O-]	sulfoacetate
CHEBI:59059	CN=C=O	methyl isocyanate
CHEBI:59338	C[NH3+]	methylamine
CHEBI:60991	O=P([O-])(O)CCO	2-hydroxyethylphosphonate
CHEBI:61112	CSC#N	methyl thiocyanate
CHEBI:61904	O=S(=O)([O-])CCO	2-hydroxyethane-1-sulfonate
CHEBI:61909	CCS(=O)(=O)[O-]	ethane-1-sulfonate
CHEBI:68684	CP(=O)([O-])O	methylphosphonate
CHEBI:71199	O=P([O-])(O)CO	hydroxymethylphosphonate
CHEBI:71624	C[Te](=O)(=O)[O-]	methanetellurite
CHEBI:74631	[NH3+]CCSP(=O)([O-])[O-]	cysteamine S-phosphate
CHEBI:77699	COC=O	methyl formate
CHEBI:77846	[NH2+]=CC(=O)[O-]	2-iminoacetate
CHEBI:77894	C/C=[N+](\[O-])O	ethylnitronate
CHEBI:78619	O=[Fe][O-]	iron(III) oxide-hydroxide
CHEBI:84879	N=O	nitroxyl
CHEBI:85033	[Co+]	Co(+)
CHEBI:85035	C[Co+2]	methyl-Co(III)
CHEBI:86994	O=C([O-])OP(=O)([O-])O	carboxyphosphate
CHEBI:91254	O=C([O-])P(=O)([O-])O	phosphonoformate
CHEBI:133603	CS(=O)[O-]	methanesulfinate
CHEBI:133674	[NH3+]CP(=O)([O-])[O-]	aminomethylphosphonate
CHEBI:133907	N#CSO	hypothiocyanous acid
CHEBI:133927	O=CCOP(=O)([O-])[O-]	glycolaldehyde phosphate
CHEBI:134098	C[C@@H]([NH3+])P(=O)([O-])[O-]	(S)-1-aminoethylphosphonate
CHEBI:136511	O=[Mn]=O	MnO2
CHEBI:136833	O=CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]	glycolaldehyde triphosphate
CHEBI:141612	[NH3+]C[C@H](O)P(=O)([O-])O	(1R)-(2-amino-1-hydroxyethyl)phosphonate
CHEBI:142501	O=CCS(=O)[O-]	2-sulfinoacetaldehyde
CHEBI:194177	C[C@H](O)P(=O)([O-])O	(1R)-(1-hydroxyethyl)phosphonate
CHEBI:194307	NC(=[NH2+])NO	N-hydroxyguanidine
CHEBI:507393	[NH3+]CCS(=O)(=O)[O-]	taurine
CHEBI:566789	CC[NH3+]	ethylamine
